identificacion,Tiempo_real,Tiempo_asignado,permitir_Gastos,permitir_tiempo,Fecha_de_finalizacion_calculada,divisa,Titulo_de_proyecto,fecha_de_inicio,filial
54302,07:33.0,0:00:00,1,1,2013-08-27,2,695 2 FTE's May/June/July 2013,2013-05-02,1
54303,06:09.4,0:00:00,1,1,2013-09-06,2,696 Expertise On Demand May/June/July 2013 (Warby Parker),2013-05-02,1
54507,01:00.6,0:00:00,1,1,2013-08-29,1,697 Initial NetSuite Engagement,2013-05-16,1
54508,00:15.6,0:00:00,1,1,2014-04-18,1,698 anNightingale Additional Tasks,2013-05-17,1
54509,01:32.7,0:00:00,1,1,2014-05-02,1,699 Postmedia Training CRM2,2013-05-17,1
54511,00:00.0,0:00:00,1,1,2013-07-01,1,700 FA Migration,2013-05-23,1
54717,08:32.7,0:00:00,1,1,2014-03-14,1,702 PNC - CRM - T&M (ChangeOrders 5 and 6),2013-06-04,1
54720,00:00.0,0:00:00,1,1,2013-06-10,1,703 Training SOW,2013-06-07,1
54721,00:00.0,0:00:00,1,1,2014-06-12,1,704 EoD 2014,2013-06-07,1
54922,00:00.0,0:00:00,1,1,2014-05-09,1,705 Data Migration,2013-06-11,1
54924,00:08.0,0:00:00,1,1,2013-06-12,1,706 OnPeople March/April Email Template Updates,2013-06-12,1
54926,03:29.9,0:00:00,1,1,2013-10-21,1,707 TMGTV NetSuite Implementation,2013-06-13,1
54935,00:00.0,0:00:00,1,1,2016-08-03,2,708 40 hour placeholder for Findaway Services,2013-06-19,1
55344,00:11.0,0:00:00,1,1,2013-09-09,2,709 AP Support,2013-07-03,1
55345,00:00.0,0:00:00,1,1,2013-07-26,2,710 Xactly Integration,2013-07-03,1
55755,00:39.2,0:00:00,1,1,2013-09-03,2,711 EoD,2013-07-12,1
55756,00:37.1,0:00:00,1,1,2013-08-12,2,712 3 Month EoD (PRN),2013-07-17,1
55757,03:03.7,0:00:00,1,1,2013-12-05,1,713 Corel SOW Addendum #4,2013-07-17,1
55959,00:00.0,0:00:00,1,1,2013-11-15,2,714 Service Item Line Level Partner Technology (ID12),2013-07-19,1
55960,00:00.0,0:00:00,1,1,2013-12-20,1,715 IM3 Phase II,2013-07-22,1
55968,00:31.8,0:00:00,1,1,2013-08-20,1,716 Scoping,2013-08-09,1
55970,06:32.0,0:00:00,1,1,2014-07-23,2,717 NetSuite Support 2013-2014 incl. PSA Project Work,2013-08-15,1
55971,05:59.6,0:00:00,1,1,2014-04-02,1,718 Norwest PSA (Blueprint),2013-08-20,1
55979,05:25.0,0:00:00,1,1,2013-10-03,2,719 Retail Technology Team Support WP-0813-RT1,2013-08-30,1
